epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1247.34,0.63443,0.37678,0.89537,0.97129,0.96758,0.9811,0.8355,0.63124,0.33018,0.88809,0.000307,0.000307,0.000307
44,1276.26,0.64196,0.37331,0.89719,0.97876,0.9619,0.9815,0.84454,0.61537,0.32318,0.88999,0.0002905,0.0002905,0.0002905
45,1305.17,0.63419,0.37618,0.90182,0.98162,0.96707,0.98366,0.84331,0.619,0.31995,0.88763,0.000274,0.000274,0.000274
46,1334.05,0.62619,0.36507,0.89408,0.97725,0.95893,0.98324,0.84048,0.63016,0.32921,0.8887,0.0002575,0.0002575,0.0002575
47,1362.92,0.62493,0.36164,0.89534,0.98011,0.96916,0.98587,0.84374,0.61889,0.31254,0.88608,0.000241,0.000241,0.000241
48,1391.83,0.61085,0.35983,0.88915,0.97209,0.97168,0.98347,0.84217,0.62137,0.32296,0.88736,0.0002245,0.0002245,0.0002245
49,1420.71,0.6054,0.35333,0.8891,0.98189,0.96753,0.98236,0.84315,0.62026,0.31445,0.88665,0.000208,0.000208,0.000208
50,1449.59,0.60266,0.34785,0.8822,0.98174,0.97423,0.98557,0.84382,0.62759,0.30836,0.89052,0.0001915,0.0001915,0.0001915
51,1479.05,0.56223,0.29995,0.86993,0.97899,0.96935,0.98413,0.84612,0.62011,0.31431,0.88963,0.000175,0.000175,0.000175
52,1507.76,0.55006,0.2906,0.8704,0.98205,0.9737,0.98861,0.85148,0.62689,0.31185,0.88662,0.0001585,0.0001585,0.0001585
53,1536.48,0.55226,0.29015,0.86715,0.9841,0.96933,0.98896,0.85295,0.61974,0.30594,0.88625,0.000142,0.000142,0.000142
54,1565.19,0.5329,0.2825,0.8613,0.98423,0.96479,0.99031,0.85212,0.62194,0.30892,0.88863,0.0001255,0.0001255,0.0001255
55,1593.81,0.53666,0.27935,0.86419,0.98172,0.97278,0.98962,0.85078,0.62167,0.31109,0.88609,0.000109,0.000109,0.000109
56,1622.43,0.51912,0.27301,0.85965,0.98477,0.96966,0.98615,0.8523,0.61501,0.30558,0.8849,9.25e-05,9.25e-05,9.25e-05
57,1651.02,0.51391,0.26965,0.85662,0.98588,0.9699,0.98842,0.85355,0.61592,0.30315,0.88178,7.6e-05,7.6e-05,7.6e-05
58,1679.74,0.52006,0.27148,0.85793,0.98613,0.97213,0.98657,0.85556,0.61215,0.29467,0.88065,5.95e-05,5.95e-05,5.95e-05
59,1708.47,0.51227,0.26627,0.85198,0.98251,0.97527,0.99011,0.85677,0.61454,0.2938,0.88356,4.3e-05,4.3e-05,4.3e-05
60,1737.16,0.50509,0.25732,0.85227,0.98352,0.97559,0.99073,0.85974,0.6122,0.29251,0.88233,2.65e-05,2.65e-05,2.65e-05
