epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.2,1.75923,2.24197,1.20865,0.4947,0.63261,0.53376,0.23401,1.74306,1.56757,1.30829,0.000256128,0.000256128,0.000256128
2,850.708,1.57315,1.70849,1.13761,0.60032,0.69829,0.70916,0.36659,1.52313,1.28833,1.14871,0.000508234,0.000508234,0.000508234
3,1273.03,1.53605,1.60721,1.13865,0.70597,0.6408,0.71779,0.39302,1.41211,1.32003,1.10863,0.00075611,0.00075611,0.00075611
4,1693.39,1.50129,1.52391,1.12031,0.56503,0.70044,0.6405,0.32172,1.52747,1.30615,1.16388,0.000749967,0.000749967,0.000749967
5,2113.23,1.47742,1.50211,1.10828,0.69105,0.72297,0.78441,0.41946,1.35425,1.20835,1.08311,0.000743623,0.000743623,0.000743623
6,2533.54,1.43973,1.41165,1.09665,0.71922,0.75756,0.7839,0.44174,1.33702,1.11952,1.04881,0.000737279,0.000737279,0.000737279
7,2954.01,1.38684,1.32555,1.06575,0.77926,0.76007,0.82765,0.44154,1.39014,1.13263,1.09073,0.000730935,0.000730935,0.000730935
8,3374.15,1.38631,1.28457,1.07326,0.80186,0.79645,0.86415,0.51317,1.28474,0.9846,1.02218,0.00072459,0.00072459,0.00072459
9,3794.51,1.35742,1.24205,1.04963,0.75527,0.78154,0.80554,0.45186,1.43246,1.03724,1.06248,0.000718246,0.000718246,0.000718246
10,4214.93,1.33604,1.19987,1.04405,0.77933,0.78315,0.84983,0.4518,1.47263,1.20292,1.11081,0.000711902,0.000711902,0.000711902
11,4634.61,1.31908,1.19452,1.04808,0.84873,0.81732,0.88949,0.52279,1.32842,0.91264,1.03285,0.000705558,0.000705558,0.000705558
12,5054.88,1.31772,1.17724,1.04424,0.82611,0.81451,0.87726,0.47523,1.38503,0.98299,1.05961,0.000699213,0.000699213,0.000699213
13,5474.91,1.28653,1.12965,1.02673,0.81433,0.822,0.87388,0.57576,1.14768,0.82927,0.95074,0.000692869,0.000692869,0.000692869
14,5895.31,1.25959,1.09507,1.0217,0.86965,0.85441,0.91908,0.59224,1.1791,0.7989,0.98017,0.000686525,0.000686525,0.000686525
15,6315.57,1.25696,1.07786,1.01723,0.81453,0.82274,0.86167,0.53639,1.30836,0.84407,1.00988,0.000680181,0.000680181,0.000680181
16,6735.87,1.23891,1.06081,1.0143,0.87384,0.84014,0.91002,0.59458,1.15988,0.79375,0.96267,0.000673836,0.000673836,0.000673836
17,7156.36,1.24419,1.05888,1.01351,0.88229,0.85779,0.91366,0.5941,1.20698,0.7575,0.9679,0.000667492,0.000667492,0.000667492
18,7576.42,1.22013,1.01169,0.9972,0.9036,0.88026,0.93943,0.60339,1.22523,0.73188,0.99315,0.000661148,0.000661148,0.000661148
19,7996.96,1.20818,1.01492,0.99547,0.8871,0.88012,0.93782,0.62916,1.11068,0.70811,0.94287,0.000654804,0.000654804,0.000654804
20,8417.28,1.19775,0.98498,0.99661,0.88917,0.85693,0.929,0.6355,1.08599,0.73415,0.93622,0.000648459,0.000648459,0.000648459
21,8837.74,1.19564,0.98388,0.99362,0.89618,0.8767,0.93018,0.61279,1.17107,0.69776,0.95799,0.000642115,0.000642115,0.000642115
22,9257.63,1.19364,0.9777,0.99433,0.88091,0.86085,0.91051,0.58105,1.2764,0.73698,0.9878,0.000635771,0.000635771,0.000635771
23,9677.68,1.17244,0.96189,0.98754,0.87335,0.87159,0.91146,0.56509,1.33384,0.72817,1.01211,0.000629427,0.000629427,0.000629427
24,10097.5,1.17209,0.94674,0.98196,0.92087,0.89262,0.94798,0.68214,0.96352,0.63439,0.90244,0.000623082,0.000623082,0.000623082
25,10517.8,1.16833,0.94286,0.97861,0.92029,0.89185,0.94287,0.65722,1.04331,0.62586,0.92084,0.000616738,0.000616738,0.000616738
