epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.335,1.94544,2.633,1.29933,0.37537,0.57838,0.42397,0.18549,1.75218,1.7769,1.21834,0.000222,0.000222,0.000222
2,450.367,1.69856,1.99916,1.18191,0.4422,0.53456,0.46739,0.2263,1.67111,1.71464,1.18028,0.000438835,0.000438835,0.000438835
3,673.521,1.65968,1.92276,1.16679,0.46472,0.57827,0.53042,0.26231,1.62228,1.54101,1.15073,0.000650167,0.000650167,0.000650167
4,896.241,1.63887,1.83207,1.16076,0.46603,0.61033,0.52797,0.25621,1.56986,1.53761,1.13437,0.000642238,0.000642238,0.000642238
5,1118.75,1.59736,1.76411,1.16304,0.5023,0.63551,0.5443,0.24053,1.6776,1.50683,1.17693,0.000633983,0.000633983,0.000633983
6,1341.13,1.60715,1.7378,1.15073,0.57539,0.63023,0.64445,0.32897,1.6068,1.35894,1.12373,0.000625729,0.000625729,0.000625729
7,1563.96,1.55509,1.64415,1.11543,0.63122,0.67903,0.72309,0.38071,1.47214,1.23664,1.07882,0.000617475,0.000617475,0.000617475
8,1786.71,1.55634,1.63257,1.13163,0.59866,0.65948,0.64447,0.29592,1.61549,1.34651,1.14232,0.000609221,0.000609221,0.000609221
9,2009.08,1.52674,1.59143,1.12017,0.51872,0.66178,0.5692,0.2309,1.69269,1.52917,1.18971,0.000600967,0.000600967,0.000600967
10,2231.65,1.5062,1.5479,1.11875,0.58627,0.69069,0.65638,0.30718,1.56151,1.32931,1.12966,0.000592713,0.000592713,0.000592713
11,2454.03,1.48454,1.48682,1.1114,0.62655,0.67395,0.7308,0.39434,1.40715,1.23839,1.05378,0.000584459,0.000584459,0.000584459
12,2676.76,1.46086,1.44908,1.09813,0.6834,0.70043,0.74044,0.35823,1.55787,1.26844,1.12792,0.000576205,0.000576205,0.000576205
13,2899.12,1.44742,1.42495,1.08341,0.72323,0.71678,0.77005,0.38396,1.49232,1.20473,1.09736,0.00056795,0.00056795,0.00056795
14,3121.31,1.42883,1.38859,1.09092,0.71654,0.72049,0.76195,0.38325,1.5061,1.18456,1.11142,0.000559696,0.000559696,0.000559696
15,3343.57,1.42491,1.38237,1.07887,0.72428,0.72155,0.77823,0.39235,1.49053,1.20438,1.09533,0.000551442,0.000551442,0.000551442
16,3567.33,1.42923,1.33435,1.06866,0.7917,0.75725,0.84421,0.46569,1.40747,1.04282,1.0574,0.000543188,0.000543188,0.000543188
17,3791.25,1.40071,1.33897,1.06662,0.77193,0.7482,0.84477,0.49215,1.31599,1.04571,1.02299,0.000534934,0.000534934,0.000534934
