epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15129.3,1.11513,0.78538,0.96347,0.94509,0.92777,0.96029,0.65076,1.10105,0.57837,0.94754,0.0005941,0.0005941,0.0005941
43,15489.3,1.12656,0.78262,0.96404,0.93866,0.92229,0.95232,0.65726,1.07716,0.56232,0.92697,0.0005842,0.0005842,0.0005842
44,15866.1,1.09784,0.7684,0.95379,0.93294,0.92374,0.95024,0.57582,1.36323,0.63554,1.01842,0.0005743,0.0005743,0.0005743
45,16236.4,1.0908,0.76773,0.95739,0.91552,0.91775,0.94572,0.60692,1.29032,0.61706,1.00342,0.0005644,0.0005644,0.0005644
46,16596.1,1.09497,0.75463,0.94964,0.93227,0.9218,0.94808,0.58624,1.33918,0.60494,1.00626,0.0005545,0.0005545,0.0005545
47,16956,1.08338,0.75484,0.95096,0.94654,0.92691,0.96133,0.64506,1.18608,0.56323,0.96537,0.0005446,0.0005446,0.0005446
48,17315.9,1.06738,0.73652,0.94422,0.93823,0.93011,0.95473,0.61078,1.27414,0.59816,0.99765,0.0005347,0.0005347,0.0005347
49,17675.7,1.07687,0.75286,0.94943,0.94339,0.93168,0.95907,0.6554,1.12843,0.55747,0.94095,0.0005248,0.0005248,0.0005248
50,18035.6,1.07395,0.74687,0.94233,0.94464,0.92882,0.95914,0.57394,1.43822,0.61886,1.04487,0.0005149,0.0005149,0.0005149
51,18395.5,1.06806,0.73125,0.94852,0.95151,0.93948,0.96556,0.67237,1.0847,0.52823,0.92924,0.000505,0.000505,0.000505
52,18755.7,1.0805,0.7392,0.94487,0.93151,0.92327,0.94856,0.60793,1.30663,0.58408,1.00265,0.0004951,0.0004951,0.0004951
53,19115.7,1.06145,0.71936,0.93616,0.942,0.92925,0.95516,0.61332,1.2789,0.57325,0.99293,0.0004852,0.0004852,0.0004852
54,19475.5,1.05239,0.71319,0.94036,0.95143,0.9418,0.96587,0.6438,1.1803,0.5464,0.97018,0.0004753,0.0004753,0.0004753
55,19835.4,1.05508,0.71705,0.93911,0.95479,0.94216,0.96693,0.62488,1.27885,0.56299,0.99524,0.0004654,0.0004654,0.0004654
56,20195.3,1.04849,0.70699,0.93544,0.95199,0.94006,0.9639,0.60816,1.35338,0.56983,1.01511,0.0004555,0.0004555,0.0004555
57,20555.3,1.04789,0.71095,0.93839,0.95074,0.93966,0.96655,0.6087,1.34638,0.5812,1.0262,0.0004456,0.0004456,0.0004456
58,20915.2,1.04171,0.70153,0.9345,0.94519,0.93412,0.95927,0.62344,1.2435,0.55387,0.98311,0.0004357,0.0004357,0.0004357
59,21275.1,1.04257,0.70449,0.9312,0.95591,0.94631,0.96945,0.66844,1.1063,0.51692,0.94276,0.0004258,0.0004258,0.0004258
60,21635,1.03086,0.6842,0.931,0.95923,0.9456,0.97091,0.67458,1.08993,0.52611,0.94096,0.0004159,0.0004159,0.0004159
61,21995.1,1.03544,0.68614,0.93071,0.95284,0.94547,0.96583,0.62723,1.29006,0.54481,0.9879,0.000406,0.000406,0.000406
62,22354.9,1.02355,0.67908,0.92922,0.95612,0.9434,0.97036,0.67875,1.04701,0.5069,0.92202,0.0003961,0.0003961,0.0003961
63,22714.9,1.0275,0.68382,0.93156,0.96151,0.94506,0.97035,0.69402,0.96673,0.50357,0.90676,0.0003862,0.0003862,0.0003862
64,23074.8,1.01426,0.68251,0.93302,0.96011,0.94898,0.97011,0.67798,1.06608,0.50277,0.93182,0.0003763,0.0003763,0.0003763
65,23434.7,1.01861,0.67236,0.92507,0.94451,0.93656,0.96221,0.64728,1.19607,0.53616,0.97092,0.0003664,0.0003664,0.0003664
66,23794.6,1.034,0.67988,0.92839,0.9613,0.94977,0.97129,0.68138,1.06758,0.49873,0.9317,0.0003565,0.0003565,0.0003565
67,24154.4,1.00403,0.66035,0.92065,0.96055,0.95393,0.97304,0.6888,1.08214,0.49596,0.93157,0.0003466,0.0003466,0.0003466
68,24514.3,1.00658,0.6622,0.92706,0.95654,0.95001,0.97119,0.6736,1.09081,0.51525,0.9601,0.0003367,0.0003367,0.0003367
69,24874.3,0.99988,0.65583,0.91797,0.95574,0.94846,0.97008,0.69538,1.02099,0.48529,0.92188,0.0003268,0.0003268,0.0003268
70,25234.4,0.99935,0.6493,0.91837,0.96225,0.94975,0.97157,0.68527,1.04436,0.4897,0.9266,0.0003169,0.0003169,0.0003169
71,25594.1,0.98318,0.64531,0.92077,0.9609,0.94971,0.97259,0.68039,1.08028,0.49485,0.93707,0.000307,0.000307,0.000307
72,25954,0.9857,0.63913,0.91912,0.96308,0.95496,0.97463,0.68906,1.09098,0.48588,0.93149,0.0002971,0.0002971,0.0002971
73,26314,0.98063,0.63934,0.9181,0.96353,0.95191,0.97398,0.70615,1.00637,0.47463,0.90818,0.0002872,0.0002872,0.0002872
74,26674.1,0.97742,0.63067,0.91389,0.96027,0.95203,0.97293,0.69999,1.03078,0.47484,0.91978,0.0002773,0.0002773,0.0002773
75,27033.8,0.98472,0.64476,0.91898,0.9652,0.95455,0.97461,0.68753,1.07923,0.48621,0.93184,0.0002674,0.0002674,0.0002674
76,27393.8,0.99096,0.63688,0.9141,0.96368,0.95162,0.97474,0.71279,0.99707,0.46852,0.91094,0.0002575,0.0002575,0.0002575
77,27753.1,0.96752,0.62902,0.9172,0.96299,0.9516,0.97459,0.68675,1.0776,0.48615,0.93971,0.0002476,0.0002476,0.0002476
78,28112.4,0.97107,0.62247,0.9133,0.96611,0.95471,0.97581,0.70139,1.02275,0.47964,0.92448,0.0002377,0.0002377,0.0002377
79,28471.7,0.9633,0.61903,0.91244,0.95932,0.94528,0.97093,0.68733,1.0628,0.48567,0.92746,0.0002278,0.0002278,0.0002278
80,28831.1,0.96974,0.62715,0.91375,0.96057,0.95398,0.97407,0.66494,1.16181,0.49695,0.95833,0.0002179,0.0002179,0.0002179
81,29190.3,0.96046,0.61253,0.91215,0.96726,0.95827,0.97669,0.69605,1.05868,0.47184,0.9271,0.000208,0.000208,0.000208
82,29549.7,0.9579,0.61584,0.90692,0.96577,0.95669,0.97589,0.68755,1.08862,0.47611,0.93331,0.0001981,0.0001981,0.0001981
83,29908.9,0.94744,0.60706,0.9081,0.96591,0.95887,0.97647,0.70305,1.02974,0.46753,0.91664,0.0001882,0.0001882,0.0001882
84,30268.1,0.95027,0.60886,0.90882,0.96425,0.95561,0.97486,0.68072,1.11722,0.48512,0.94149,0.0001783,0.0001783,0.0001783
85,30627.5,0.94609,0.6108,0.90781,0.9604,0.95363,0.97242,0.65428,1.2153,0.50291,0.96667,0.0001684,0.0001684,0.0001684
86,30986.8,0.95137,0.6057,0.90522,0.96992,0.95907,0.97463,0.68612,1.10197,0.47641,0.9298,0.0001585,0.0001585,0.0001585
87,31346.3,0.94638,0.60428,0.89956,0.9691,0.9601,0.97619,0.691,1.08874,0.47314,0.92968,0.0001486,0.0001486,0.0001486
88,31706,0.93769,0.59307,0.90177,0.9656,0.96062,0.97708,0.70667,1.03028,0.45805,0.9121,0.0001387,0.0001387,0.0001387
89,32065.3,0.9416,0.59786,0.90205,0.96942,0.95958,0.9771,0.70215,1.05048,0.45981,0.91921,0.0001288,0.0001288,0.0001288
90,32424.7,0.92637,0.5853,0.89936,0.96498,0.95807,0.97486,0.70176,1.04342,0.45851,0.9134,0.0001189,0.0001189,0.0001189
91,32781.3,0.88739,0.53184,0.9061,0.9703,0.95694,0.97808,0.72072,0.97018,0.44622,0.89945,0.000109,0.000109,0.000109
92,33137.5,0.8702,0.51617,0.90357,0.9691,0.95888,0.97836,0.72484,0.96304,0.44353,0.89753,9.91e-05,9.91e-05,9.91e-05
93,33493.8,0.8648,0.50723,0.89794,0.9634,0.96009,0.97729,0.70998,1.01806,0.45703,0.91305,8.92e-05,8.92e-05,8.92e-05
94,33849.8,0.85054,0.50411,0.89315,0.96442,0.96057,0.9778,0.70873,1.02675,0.45332,0.91224,7.93e-05,7.93e-05,7.93e-05
95,34206.1,0.85663,0.50949,0.90037,0.96843,0.95907,0.97786,0.71425,1.01208,0.45166,0.91192,6.94e-05,6.94e-05,6.94e-05
96,34562.2,0.84913,0.4966,0.89753,0.9679,0.96055,0.97821,0.72121,0.98584,0.44426,0.90257,5.95e-05,5.95e-05,5.95e-05
97,34918.4,0.85194,0.50006,0.89915,0.96984,0.96078,0.97878,0.72389,0.97697,0.44226,0.89969,4.96e-05,4.96e-05,4.96e-05
98,35274.5,0.85198,0.50031,0.89586,0.96963,0.96131,0.97905,0.71797,1.00652,0.44679,0.90653,3.97e-05,3.97e-05,3.97e-05
99,35630.7,0.85036,0.49497,0.8904,0.97056,0.96272,0.97937,0.72576,0.98002,0.43928,0.8998,2.98e-05,2.98e-05,2.98e-05
100,35987,0.84985,0.49536,0.89093,0.97155,0.95869,0.97888,0.71546,1.01029,0.44528,0.90567,1.99e-05,1.99e-05,1.99e-05
